prognosis,Medication,Diagnosis,Recovery
Hypertension ,"ACE inhibitor, Diuretic, Beta blocker, Antihypertensive drug, Calcium channel blocker and Vasodilator","Ambulatory monitoring. This 24-hour blood pressure monitoring test is used to confirm if you have high blood pressure. ...
Lab tests. Your doctor may recommend a urine test (urinalysis) and blood tests, including a cholesterol test.
Electrocardiogram (ECG or EKG). ...
Echocardiogram.","Many people can reduce their high blood pressure, also known as hypertension, in as little as 3 days to 3 weeks."
Migraine,"almotriptan (Axert)
eletriptan (Relpax)
frovatriptan (Frova)
naratriptan (Amerge)
rizatriptan (Maxalt, Maxalt-MLT)
sumatriptan (Imitrex)
sumatriptan and naproxen (Treximet)
zolmitriptan (Zomig)",Usually self-diagnosable,A migraine usually lasts from four to 72 hours if untreated. How often migraines occur varies from person to person. Migraines might occur rarely or strike several times a month.
Cervical spondylosis,"Analgesic, Nonsteroidal anti-inflammatory drug, Muscle relaxant, Steroid, Narcotic and Local anesthetic","Neck X-ray. An X-ray can show abnormalities, such as bone spurs, that indicate cervical spondylosis. ...
CT scan. A CT scan can provide more detailed imaging, particularly of bones.
MRI. MRI can help pinpoint areas where nerves might be pinched.
Myelography.",Usually by 4 to 6 weeks
Paralysis (brain hemorrhage),"Narayana Taila : Very useful in nervous disorders. Especially in paralysis. DOSAGE : Can be used for massage over the body. Rajasirobhushanam : Can be used in partial paralysis, facial paralysis, tongue paralysis, brain paralysis etc.","For internal body parts where paralysis is more difficult to identify, your doctor may use X-rays, CT scans, MRI scans, or other imaging studies. ","By the end of your first three months, you will have made most of the recovery that you can expect to make. Again, this is a significant divergence from SCI rehabilitation, where complete recovery can take a year or longer. The exception for stroke patients would be those who experienced damage to the brainstem."
Jaundice,"Anemia-induced jaundice may be treated by boosting the amount of iron in the blood by either taking iron supplements or eating more iron-rich foods. ...
Hepatitis-induced jaundice requires antiviral or steroid medications.
Doctors can treat obstruction-induced jaundice by surgically removing the obstruction.",A bilirubin blood test is used to check the health of your liver. The test is also commonly used to help diagnose newborn jaundice.,Newborn jaundice is usually harmless and clears up within a few weeks.
Malaria,"Atovaquone/Proguanil (Malarone)
Chloroquine.
Doxycycline.
Mefloquine.
Primaquine.
Tafenoquine (ArakodaTM)","PCR is most useful for confirming the species of malarial parasite after the diagnosis has been established by either smear microscopy or RDT. Serology detects antibodies against malaria parasites, using either indirect immunofluorescence (IFA) or enzyme-linked immunosorbent assay (ELISA).","With proper treatment, symptoms of malaria usually go away quickly, with a cure within two weeks. Without proper treatment, malaria episodes (fever, chills, sweating) can return periodically over a period of years. After repeated exposure, patients will become partially immune and develop milder disease."
Chicken pox,antiviral medication such acyclovir (Zovirax) or valacyclovir (Valtrex) to help minimize the symptoms of chickenpox in adults. It is most effective if it is started within the first 24 hours after the onset of the rash.,Usually self-diagnosable,Some people may have only a few spots whereas others will have hundreds. Symptoms start appearing 10-21 days after exposure to the virus. Full recovery from chickenpox usually takes 7-10 days after the symptoms first appear.
Dengue,analgesic,"To detect the presence of the dengue virus in the blood, you need to undergo definitive tests which include non-structural protein 1 (NS1) test, Immunoglobulin G/ Immunoglobulin M test or a real time polymerase chain reaction (RT-PCR) test.",Symptoms of dengue typically last 2–7 days. Most people will recover after about a week.
Typhoid,Antibiotics and Penicillin,"The Widal test is one method that may be used to help make a presumptive diagnosis of enteric fever, also known as typhoid fever.","With appropriate antibiotic therapy, there is usually improvement within one to two days and recovery within seven to 10 days. Several antibiotics are effective for the treatment of typhoid fever."
hepatitis A,"No specific treatment exists for hepatitis A. Your body will clear the hepatitis A virus on its own. In most cases of hepatitis A, the liver heals within six months with no lasting damage.","Screening for hepatitis A involves a blood test that detects antibodies produced by a person's immune system to fight the virus. A positive test result means the person is currently infected, had been infected, or has been vaccinated against infection and is immune to infection.","You may be sick for a few weeks, but it may take up to 6 months to fully recover."
Hepatitis B,"Several antiviral medications — including entecavir (Baraclude), tenofovir (Viread), lamivudine (Epivir), adefovir (Hepsera) and telbivudine (Tyzeka) — can help fight the virus and slow its ability to damage your liver.",The “Hepatitis B Panel” of Blood Tests,Acute hepatitis B infection lasts less than six months. 
Hepatitis C,Hepatitis C is treated using direct acting antiviral (DAA) tablets. DAA tablets are the safest and most effective medicines for treating hepatitis C. They're highly effective at clearing the infection in more than 90% of people. The tablets are taken for 8 to 12 weeks.,"A blood test, called an HCV antibody test, is used to find out if someone has ever been infected with the hepatitis C virus. The HCV antibody test, sometimes called the anti-HCV test, looks for antibodies to the hepatitis C virus in blood.","DAAs can cure most persons with HCV infection, and treatment duration is short (usually 12 to 24 weeks), depending on the absence or presence of cirrhosis."
Hepatitis D,"Doctors called hepatologists specialize even further and treat only liver disease. There's no cure yet for HDV. Until doctors come up with better options, the drug prescribed most often is pegylated interferon alfa (peg-IFNa).","To make an accurate diagnosis, your doctor will perform a blood test that can detect anti-hepatitis D antibodies in your blood. If antibodies are found, it means you've been exposed to the virus. Your doctor will also give you a liver function test if they suspect you have liver damage.","It may go away on its own. If the infection lasts for six months or longer, the condition is known as chronic hepatitis D. The long-term version of the infection develops gradually over time. The virus might be present in the body for several months before symptoms occur."
Hepatitis E,Ribavirin. Ribavirin may improve liver enzymes and functions in severe acute hepatitis E. Ribavirin monotherapy for at least 3 months seems to be the first treatment option for patients with chronic hepatitis E who are not able to clear the hepatitis E virus (HEV) after immunosuppression is reduced.,Anti-HEV IgM is the serologic marker of choice for diagnosis of acute HEV infection. Positive predictive value of a given diagnostic laboratory test is dependent on the prevalence rate of the disease for which the test is being used.,Most people who have hepatitis E will go on to recover completely within four weeks to six months from the start of their symptoms.
Alcoholic hepatitis,"Anti-inflammatory, Cholesterol medication and Steroid","Liver function tests.
Blood tests.
An ultrasound, CT or MRI scan of the liver.
A liver biopsy, if other tests and imaging don't provide a clear diagnosis or if you are at risk of other causes of hepatitis.","Within two years many patients show significant improvement, and appear to have normal liver function."
Tuberculosis,isoniazid (INH) rifampin (RIF) ethambutol (EMB),IGRAs are blood tests that measure a person's immune response to the bacteria that cause TB. The immune system produces some special molecules called cytokines. These TB tests work by detecting a cytokine called the interferon gamma cytokine.,TB bacteria die very slowly. It takes at least 6 months for the medicines to kill all the TB bacteria. You will probably start feeling well after only a few weeks of treatment.
Common Cold,"Nonsteroidal anti-inflammatory drug, Analgesic, Antihistamine, Cough medicine and Decongestant",Usually self-diagnosable,"In general, healthy people usually get over a cold in 7 to 10 days. Flu symptoms, including fever, should go away after about 5 days, but you may still have a cough and feel weak a few days longer. All your symptoms should be gone within 1 to 2 weeks."
Pneumonia,Antibiotics and Penicillin,"Blood tests are used to confirm an infection and to try to identify the type of organism causing the infection. However, precise identification isn't always possible. Chest X-ray. This helps your doctor diagnose pneumonia and determine the extent and location of the infection.",resolves within days to weeks
Dimorphic hemmorhoids(piles),"oral pain relievers, Nifedipine ointment (a prescription, made by a compounding pharmacy) and lidocaine cream ","Hemorrhoids are typically diagnosed by physical examination. A visual examination of the anus and surrounding area may diagnose external or prolapsed hemorrhoids. A rectal exam may be performed to detect possible rectal tumors, polyps, an enlarged prostate, or abscesses."," Small hemorrhoids may clear up without any treatment within a few days. Large, external hemorrhoids may take longer to heal and can cause significant pain and discomfort. If hemorrhoids have not resolved within a few days, it is best to see a doctor for treatment."
Heart attack,"Anticoagulant, Antianginal, Narcotic, Beta blocker, Statin and ACE inhibitor","An electrocardiogram (ECG) is an important test in suspected heart attacks. It should be done within 10 minutes of being admitted to hospital. An ECG measures the electrical activity of your heart. Every time your heart beats, it produces tiny electrical impulses.",resolves within days to weeks
Varicose veins,"Laser therapy, Sclerotherapy, Radiofrequency ablation and Ambulatory phlebectomy",Usually self-diagnosable,Chronic: can last for years or be lifelong
Hypothyroidism,"Standard treatment for hypothyroidism involves daily use of the synthetic thyroid hormone levothyroxine (Levo-T, Synthroid, others). This oral medication restores adequate hormone levels, reversing the signs and symptoms of hypothyroidism. You'll likely start to feel better soon after you start treatment.","TSH Test. A thyroid-stimulating hormone or TSH is a blood test that measures the amount of T4 (thyroxine) that the thyroid is being signaled to make. If you have an abnormally high level of TSH, it could mean you have hypothyroidism.",Chronic: can last for years or be lifelong
Hyperthyroidism,Antithyroid agent and Beta blocker,Blood tests that measure thyroxine and thyroid-stimulating hormone (TSH) can confirm the diagnosis. High levels of thyroxine and low or nonexistent amounts of TSH indicate an overactive thyroid. The amount of TSH is important because it's the hormone that signals your thyroid gland to produce more thyroxine.,Medium-term: resolves within months
Hypoglycemia,"Oral Hypoglycemic Medications
Sulfonylureas (glipizide, glyburide, gliclazide, glimepiride)
Meglitinides (repaglinide and nateglinide)
Biguanides (metformin)
Thiazolidinediones (rosiglitazone, pioglitazone)
?-Glucosidase inhibitors (acarbose, miglitol, voglibose)
DPP-4 inhibitors (sitagliptin, saxagliptin, vildagliptin, linagliptin, alogliptin)","If you use insulin or another diabetes medication to lower your blood sugar, and you have signs and symptoms of hypoglycemia, test your blood sugar levels with a blood glucose meter. If the result shows low blood sugar (under 70 mg/dL), treat accordingly.","It will usually take around 15 minutes to recover from a mild episode of hypoglycaemia. If you have a blood glucose meter, measure your blood sugar again after 15 to 20 minutes."
Osteoarthristis,"Nonsteroidal anti-inflammatory drug, Analgesic, Dietary supplement and Narcotic","X-rays are typically used to confirm the diagnosis of osteoarthritis. X-rays can reveal assymetric joint space narrowing, osteophytes at the joint margins, joint space narrowing, and subchondral bone sclerosis.",Chronic: can last for years or be lifelong
Arthritis,"Nonsteroidal anti-inflammatory drug, Steroid, Analgesic, Narcotic and Immunosuppressive drug","To diagnose arthritis, your doctor will consider your symptoms, perform a physical exam to check for swollen joints or loss of motion, and use blood tests and X-rays to confirm the diagnosis. X-rays and blood tests also help distinguish the type of arthritis you have.",Chronic: can last for years or be lifelong
(vertigo) Paroymsal  Positional VertigoEpley maneuver,Medical Procedure: Epley maneuver,This is accomplished through a diagnostic test called the Dix-Hallpike maneuver.,1-2 months of onset
Acne,"Anti-inflammatory, Vitamin A derivative, Antibiotics and Topical antiseptic","Dermatologist recommend bacterial test in which microbiological examination and culture of acne spot is performed. Hormonal test can be performed like testosterone, SBHG, free androgen index, prolactin, cortisol, dexamethasone suppression test.","Acne treatment needs time to work. Using a different product every few days can also irritate your skin, causing new breakouts. If a treatment works for you, you should notice some improvement in 4 to 6 weeks. It can take two to three months or longer to see clearing."
Urinary tract infection,Antibiotics and Penicillin,Usually self-diagnosable," Bladder infection symptoms most often go away within 24 to 48 hours after treatment begins. If you have a kidney infection, it may take 1 week or longer for symptoms to go away."
Psoriasis,"Medical Procedure: Photodynamic therapy, Medicines: ","Steroid, Vitamin A derivative, Anti-inflammatory, Immunosuppressive drug and Vitamin",Chronic: can last for years or be lifelong
Impetigo,Penicillin and Antibiotics,Serological anti-DNA-ase B test,Impetigo isn't usually serious and often clears up without treatment after two to three weeks. Treatment is often recommended as it can help clear up the infection in around seven to 10 days and reduce the risk of the infection being passed on to others.
